ACCOUNTS PAYABLE,Liability,Credits Increase,Debits Decrease
ACCOUNTS RECEIVABLE,Asset,Debits Increase,Credits Decrease
ACCUMULATED DEPRECIATION,Contra Asset,Credits Increase,Debits Decrease
ADVERTISING EXPENSE,Expense,Debits Increase,Credits Decrease
ALLOWANCE FOR UNCOLLECTIBLE ACCOUNTS,Contra Asset,Credits Increase,Debits Decrease
AMORTIZATION EXPENSE,Expense,Debits Increase,Credits Decrease
AVAILABLE FOR SALE SECURITIES,Asset,Debits Increase,Credits Decrease
BONDS PAYABLE,Liability,Credits Increase,Debits Decrease
BUILDING,Asset,Debits Increase,Credits Decrease
CAPITAL STOCK,Equity,Credits Increase,Debits Decrease
CASH,Asset,Debits Increase,Credits Decrease
CASH OVER,Revenue,Credits Increase,Debits Decrease
CASH SHORT,Expense,Debits Increase,Credits Decrease
CHARITABLE CONTRIBUTIONS PAYABLE,Liability,Credits Increase,Debits Decrease
COMMON STOCK,Equity,Credits Increase,Debits Decrease
COST OF GOODS SOLD,Expense,Debits Increase,Credits Decrease
CURRENCY EXCHANGE GAIN,Gain,Credits Increase,Debits Decrease
CURRENCY EXCHANGE LOSS,Loss,Debits Increase,Credits Decrease
DEPRECIATION EXPENSE,Expense,Debits Increase,Credits Decrease
DISCOUNT ON BONDS PAYABLE,Liability,Credits Increase,Debits Decrease
DISCOUNT ON NOTES PAYABLE,Contra Liability,Debits Increase,Credits Decrease
DIVIDEND INCOME,Revenue,Credits Increase,Debits Decrease
DIVIDENDS,Dividend,Debits Increase,Credits Decrease
DIVIDENDS PAYABLE,Liability,Credits Increase,Debits Decrease
DOMAIN NAME,Asset,Debits Increase,Credits Decrease
EMPLOYEE BENEFITS EXPENSE,Expense,Debits Increase,Credits Decrease
EQUIPMENT,Asset,Debits Increase,Credits Decrease
FEDERAL INCOME TAX PAYABLE,Liability,Credits Increase,Debits Decrease
FEDERAL UNEMPLOYMENT TAX PAYABLE,Liability,Credits Increase,Debits Decrease
FREIGHT-IN,Part of Calculation of Net Purchases,Debits Increase,Credits Decrease
FREIGHT-OUT,Expense,Debits Increase,Credits Decrease
FUEL EXPENSE,Expense,Debits Increase,Credits Decrease
GAIN,Gain,Credits Increase,Debits Decrease
HEALTH/CHILD FLEX PAYABLE,Liability,Credits Increase,Debits Decrease
INCOME SUMMARY,Not a Financial Statement Account,Credited for Total Revenues,Debited for Total Expenses
INSURANCE EXPENSE,Expense,Debits Increase,Credits Decrease
INSURANCE PAYABLE,Liability,Credits Increase,Debits Decrease
INTEREST EXPENSE,Expense,Debits Increase,Credits Decrease
INTEREST INCOME,Revenue,Credits Increase,Debits Decrease
INTEREST PAYABLE,Liability,Credits Increase,Debits Decrease
INTEREST RECEIVABLE,Asset,Debits Increase,Credits Decrease
INVENTORY,Asset,Debits Increase,Credits Decrease
INVESTMENT IN BONDS,Asset,Debits Increase,Credits Decrease
INVESTMENT INCOME,Revenue,Credits Increase,Debits Decrease
INVESTMENTS,Asset,Debits Increase,Credits Decrease
LAND,Asset,Debits Increase,Credits Decrease
LOAN PAYABLE,Liability,Credits Increase,Debits Decrease
LOSS,Loss,Debits Increase,Credits Decrease
MEDICARE/MEDICAID PAYABLE,Liability,Credits Increase,Debits Decrease
MISCELLANEOUS EXPENSE,Expense,Debits Increase,Credits Decrease
NOTES PAYABLE,Liability,Credits Increase,Debits Decrease
NOTES RECEIVABLE,Asset,Debits Increase,Credits Decrease
OBLIGATION UNDER CAPITAL LEASE,Liability,Credits Increase,Debits Decrease
